Number,Site,Country,Proposed Absolute Age (Ma),Dating Method,Paleontology,Archaeology,Hominin Fossils,Lat,Lng,RefN,Ref.
1,Muhkai II,Russia,1.77-2.1,"Paleomagnetism, Biostratigraphy","*Archidiskodon meridionalis, Equus stenonis, Paleotragus priasovicus, Galogoral meneghinii, Pitymimomys pitymyoides, Canis estruscus, Vulpes alopecoides, Pliocrocuta perrieri*","1079 stone artifacts (Mode 1: cores, pebbles with removals, nodules, fragments, flakes, choppers, picks, retouched tools)",,42.14464,47.21314,"*14,28,36*","*Sablin and Iltsevich 2021, Ozherelyev 2019, Gibert*"
2,Dmanisi Stratum A,Georgia,1.78-1.85,"^40^Ar/^39^Ar, Paleomagnetism",*Dicerorhinus etruscus etruscus*,"122 lithic (Mode 1: flakes, cores, core/choppers",,41.201409,44.204166,"*10,11*","*Ferring et al. 2022, Ferring et al., 2011*"
~,Dmanisi Stratum B,Georgia,~1.77 ,,"*Struthio dmanisensis, Ochotona cf. largerli, Hypolagus brahygnathus, Apodemus dominans, Kowalskia sp., Cricetus sp., Mimomys tornensis, Mimomys ostramosensis, Parameriones cf. obeidiensis, Gerbillus sp., Marmota sp., Canis etruscus, Ursus etruscus, Martes sp., Megantereon cultridens, Homotherium crenatidens, Panthera gombaszoegensis, Pachycrocuta perrieri, Mammuthus meridionalis, Equus stenonis, Dicerorhinus etruscus etruscus, Gazella borbonica, Soergelia sp., Dmanisibos georgicus, Cervus perieri, Eucladocerus aff. senezensis, Arvernoceros, Dama nestii*","4446 stone artifacts (hammerstones, anvils, pebble tools, choppers, non-modified flakes)",,,,"*12,18*","*Gabunia et al., 2000, de Lumley et al., 2005*"
3,Pirro Nord P13,Italy,1.3-1.7 ,Biostratigraphy,"*Theropithecus sp., Hystrix refossa, Equus altidens, Panthera brevirostris, Homotherium latidens, Megantereon whitei, Acinonyx pardinensis, Canis mosbachensis*",Mode 1,,43.28,13.65,"*1,14*","*Arzarello et al., 2006, Gibert et al., 2024*"
4,Fuenta Nueva 3,Spain,1.17-1.29 ,"Paleomagnetism, Biostratigraphy, ESR","*Mammuthus meridionalis, Hippopotamus antiquus, Stephanorhinus etruscus, Equus altidens, Megaloceros slihacus, Cervus sp., Bovini, Hemitragus sp., Megantereon whitei, Ursus sp., Hystrix major, Allophaiomys bourgondiae, Allophaiomys chalinei, Mimomys*","54 stone artifacts (flakes, cores, trimmed pieces)",,37.71,-2.4,"*14,27*","*Gibert, oms*"
5,Gediz,Turkey,~1.17-1.24,"^40^Ar/^39^Ar, Paleomagnetism",,1 stone artifact (hard hammer flake),,38.61,28.79,"*14,19*","*Gibert, Maddy et al., 2015*"
6,Korolevo VII,Ukraine,1.14-1.7,"Cosmogenic Nuclides, Paleomagnetism",,"33 stone artifacts( Mode 1: chunks, flakes, cores, polyhedrons)",,48.15,23.13,*13*,*Garba et al. 2024*
7,Barranco León ,Spain,1.05-1.81,"Biostratigraphy, Paleomagnetism, ESR","*Mammuthus meridionalis, Hippopotamus antiquus, Megaloceros cf. obscurus, Pseudodama sp., Bovini gen. et sp. indet., Caprini indet (n. sp.), Hemitragus cf. albus, Equus altidens, Stephanorhinus cf. hundsheimensis, Megantereon cf. whitei, Pachycrocuta brevirostris, Ursus sp., Canis mosbachensis, Vulpes sp., Meles sp., Allophaiomys aff. lavocati, ...*","Cores, flakes, flake fragments, debitage, retouched pieces, angular fragments, modified and unmodified cobbles",*Homo* sp.,37.72712,-2.45518,"*14,38,39*"," Gibert et al., 2024, Toro-Moyano et al., 2009, Toro-Moyano et al., 2013*"
8,Kocabas,Turkey,1.1-1.6,"Paleomagnetism, ^26^Al/^10^Be, Biostratigraphy","*Archidiskodon meridionalis meridionalis, Equus cf. altidens/E. cf. mygdoniensis, Equus cf. apolloniensis, Stephanorhinus cf. etuscus, Metacervoceros rhenanus, Arvernoceros sp., Cervalces (Libralces) ex gr. Minor-gallicus, Paleotragus sp, Gazella sp., Lagurodon arankae, Mimomys ex. gr. reidi-pusillus*",N/A,*Homo* sp.,37.8637,29.38045,"*21,33,40*","*Rausch et al., 2019, Mori et al., 2024, Vialet et al., 2018*"
9,Pont de la Hulauderie,France,0.98,ESR,,"Mode 1 (choppers, flakes, pebble tools)",,47.92,1.2,"*8,35,29*","*Despriee et al., 2010, Rodriguez 2011, Pares et al. 2013*"
