Number,Site,Proposed Absolute Age (Ma),Lng,Lat
1,Danjiangkou,~0.9-0.05,111.3,32.6167
2,Zhoukoudian Locality 1 upper cultural layer/Locality 15,~0.8-0.3,115.85,39.6833
3,Bose Basin,~0.8,106.5,23.5
4,Luonan,~0.8-0.1,110.13,34.1
5,Trinil,~0.8,111,-7.5
6,Sangiran,~0.7-0.3,110.8,-7.5
7,Semedo,~0.7,109,-7.5
8,Yiyuan,~0.65-0.55,118.1264,36.2406
9,Nanjing/Hulu Cave,~0.62,119.05,32.05
10,Hexian,~0.412,118.3333,31.75
11,Chongokni,~0.35-0.3,127.0667,38.0167
12,Chaoxian,~0.34,117.8641,31.5486
13,Hualong cave,~0.33-0.275,116.9428,30.1095
14,Panxian Dadong,~0.32-0.113,104.7333,25.6272
15,Maba,~0.3-0.13,113.5805,24.6742
16,Dingcun,~0.298-0.07,111.4167,35.8167
17,Dali,~0.27-0.2,109.6667,34.8667
18,Jinniushan,~0.26-0.2,122.4439,40.5778
19,Denisova Cave,~0.25-0.02,84.6762,51.3976
20,Xujiayao-Houjiayao,~0.228-0.138,113.9775,40.1006
21,Qiusang,~0.2-0.001,90.95,30.05
22,Penghu,~0.19-0.07,119.852,23.5449
23,Guanyindong,~0.17-0.08,105.9686,26.8572
24,Baishiya Karst Cave,~0.16-0.032,102.57,35.45
25,Harbin,0.146,126.54,45.8
26,Piluo,~0.13,100.28,29.04
27,Lingjing/Xuchang,~0.125-0.105,113.6833,34.0667
