Group,Category,Number,Site,Country,Proposed Absolute Age (Ma),Dating Method,Paleontology,Archaeology,Hominin Fossils,Lat ,Lng,RefN,Ref.,Notes
C,Arch,1,Fordwich,UK,.773-.607,"IR-RF, Paleomagnetism",,"500+ stone artifacts (flakes, cores, scrapers, bifaces)",,51.2866,1.1252,"35, 36","Key et al. 2021, Key et al. 2025",
B,Arch,2,Pagliare di Sassa,Italy,0.75-0.6,"Paleomagnetism, Biostratigraphy","*Mammuthus sp., Staphanorhinus hundsheimensis, Hippopotamus antiquus, Sus scrofa, Megaloceros savini, Praemegaceros verticornis, Miomys savini, Microtus hintoni*",2 flint flakes,,42.3497,13.3111,"46, 47",Palombo et al. 2010; Palombo et al. 1998,
C,Arch,3,Cimitero di Atella,Italy,0.74-0.48,"^40^Ar/^39^Ar, ESR","*Palaeoloxodon antiquus, Cervus elaphus, Dama dama*","1048 stone artifacts (Mode 1, cores, flakes, ""large tools"", ""small tools"", retouch flakes)",,40.8723,15.6514,"2, 53","Abruzzese et al. 2016, Rocca et al. 2023",
C,Arch,4,Pakefield,UK,~0.7,"Paleomagnetism, Biostratigraphy","*Mimomys savini, Castor fiber, Trogontherium cuvieri, Homotherium sp., Panthera leo, Canis lupus, Crocuta crocuta, Ursus sp., Mammuthus trogontherii, Palaeoloxodon antiquus, Equus sp., Equus altidens, Stephanorhinus hundsheimensis, Hippopotamus amphibius, Sus scrofa, Megaloceros verticornis, Megaloceros savini, Megaloceros dawkinsi, Dama dama, Cervus elaphus, Bison sp.*",Mode 1,,52.42971,1.72915,"19, 61, 68"," Voinchet et al. 2015, Cucart-Mora et al. 2025, Stuart and Lister, 2001",
B,Arch,5,Colle Marino,Italy,~0.7,,*Crocuta breviostris*,"Flakes, denticulates, choppers",,41.758972,13.1205,3,Angelucci et al. 2023,
C,Arch,6,La Noira,France,0.678-0.638,ESR,,"918 stone artifacts (bifaces, cleavers, scrapers, denticulates, flakes, cores)",,47.1478,2.1438,"33, 42, 68","Voinchet et al. 2015, Moncel et al. 2020, Hardy et al. 2018",
C,Both,7,Notarchirico,Italy,0.675-0.61,,,Mode 2,*H. heidelbergensis*,40.9689,15.8884,44,Moncel et al. 2020,
C,Arch,8,Moulin Quignon,France,0.67-0.65,ESR,"Molluscs (*Borysthenia naticina, Tanousia cf. stenostoma*)",">250 stone artifacts (Mode 2, flakes, cores, bifaces)",,50.12167,1.84833,"7, 11","Antoine et al. 2019, Bahain et al. 2016",
A,Arch,9,Rampart Fields,UK,0.62-0.56,,,"Mode 2 (1 handaxe, 4 flakes, and 1 core)",,52.31,0.6,22,Davis et al. 2021,
A,Arch,10,Brandon Fields,UK,0.62-0.56,,,148 bifaces,,52.4354,0.5949,"22, 31","Davis et al. 2021, Garcia-Medrano et al. 2022",
B,Arch,11,Valle Giumentina,Italy,0.62-0.42,^40^Ar/^39^Ar,,"119 stone artifacts (cores, flakes, notches)",,42.183,14.023,"66, 67","Villa et al. 2024, Villa et al. 2016",
C,Fossil,12,Mauer,Germany,~0.6,Biostratigraphy,"*Arvicola mosbachensis, Pliomys episcopalis, Pliomys coronensis, Sorex savini, Equus antiquus, Stephanorhinus hundsheimensis*",,*H. heidelbergensis*,49.2054,8.482,69,Wagner et al. 2011,
C,Fossil,13,Sima de los Huesos,Spain,0.6-0.53,"U-Series, Biostratigraphy","*Ursus deningeri, Panthera leo, Clethrionomys acrorhiza, Allocricetus correzensis, Pliomys lenki, Apodemus sylvaticus, Eliomys quercinus, Microtus sp., Miniopterus screibersi*",,*H. heidelbergensis*,42.35,-3.52,27,Garcia and Arsuaga 2011,
B,Both,14,Isernia la Pineta,Italy,0.583-0.561,^40^Ar/^39^Ar,"*Bison shoetensacki, Palaeoloxodon antiquus, Staphanorhinus hundsheimensis, Hippopotamus cf. antiquus, Premegaceros solihacus, Cervus elaphus cf. acoronatus, Dama cf. roberti, Capreolus sp., Sus scrofa, Hemitragus cf. bonali, Ursus deningeri, Panthera pardus, Panthera leo, Arvicola mosbachensis, Pliomys episcopalis, Microtus arvalidens*",>600 stone artifacts (discoid cores and flakes),*Homo* sp.,41.5916,14.2404,"26, 48","Galotti and Peretto 2015, Peretto et al. 2015",
C,Arch,15,Rue du Manege,France,0.563-0.533,ESR,,"23 stone artifacts (cores, cortical flakes, flakes)",,49.8858,2.2811,5,Antoine et al. 2015,
