Number,Site,Proposed Absolute Age (Ka),Lng,Lat
1,Lunadong,~126-70,106.9669,23.6133
2,Fuyandong,~120-80,111.48033,25.65075
3,Ngandong,~117-108,111.4208,-7.3167
4,Zhirendong,~115-60,107.5125,22.2871
5,Huanglong Cave,~103-44,110.2179,33.1285
6,Salawusu/Hetao,~100-19,108.1828,37.1831
7,Liang Bua,~95-17,120.0997,-8.6913
8,Katoati,~95-12,74.1931,27.222
9,Narmada,~93-48,77.8833,22.8167
10,Tam Pa Ling,~86-46,103.4098,20.2087
11,Jwalapuram,~77-74,78.1336,15.3222
12,Lida Ajer,~73-63,101.9,-5.9
13,Callao Cave,~67,121.8165,17.7082
14,Liujiang,~67-23,109.4322,24.183
15,Niah Caves,~50-48,113.7783,3.819
16,Tabon,~48,117.9814,9.28
17,Fa-Hien Lena,~48-4,80.2152,6.6486
18,Shiyu,~45,112.17,39.25
19,Yahuai Cave,43-4,107.45,23.06
20,Shuidonggou,42-6,106.525,38.2667
21,Nwya Devu,~40-30,88.81,31.47
22,Tianyuan Cave,40,115.52,39.39
23,Batadomba,~36-16,80.2,6.7667
24,ZKD Upper Cave,~30,115.85,39.6833
25,Ziyang,~30,104.65,30.1167
26,Lijiang,,100.2833,26.7833
27,Minatogawa,~22-16,127.7592,26.1289
28,Maludong,~14.3-11.5,103.4,23.3333
29,Qiusang,,90.95,30.05
