Number,Site,Country,Proposed Absolute Age (Ka),Dating Method,Paleontology,Archaeology,Hominin Fossils,Lat ,Lng,RefN,Ref.,Notes
1,Riparo Tagliente,Italy,71-57,Biostratigraphy,"*Microtus arvalis, Microtus gregalis, Microtus oeconomus, Ochotona sp., Capra ibex, Cervus elaphus, Capreolus capreolus, Sus scrofa, Alces alces, Marmota marmota, Canis lupus, Ursus arctos*",Mousterian->Aurignacian,*H. neanderthalensis*,45.54,11.01,,"Arnaud et al. 2016, Berto et al. 2018",
2,Mezmaiskaya Cave,Russia,,,,,*H. neanderthalensis*,44.1667,40,,Pinhasi et al. 2010,
3,Tabun Cave,Israel,,,,,,32.6705,34.9655,,,
4,Okladnikov Cave,Russia,,,,,,51.7329,84.0334,,,
5,Kostenki,Russia,,,,,,54.23,39.3,,,
6,Sungir,Russia,,,,,,56.1833,40.5,,,
7,Baigara,Russia,,,,,,58.2,68.2,,,
8,Skhul,Israel,,,,,,32.6707,34.9661,,,
9,Lakonis Cave,Greece,,,,,,36.7842,22.5778,,,
10,Vindija,Croatia,,,,,,46.301562,16.079687,,,
11,Velika Pecina,Croatia,,,,,,44.0531,15.5458,,,
12,Les Rochers,France,,,,,,46.415,0.7408,,,
13,Feldhofer,Germany,,,,,,51.2275,6.9456,,,
14,El Sidron,Spain,~38,14C,,,*H. neanderthalensis*,43.3836,-5.3289,,Joris and Street 2008,
15,Spy,Belgium,,,,,,50.4822,4.6692,,,
16,Kent's Cavern,UK,,,,,,50.4673,-3.5025,,,
17,Oase,Romania,,,,,,45.0833,21.8333,,,
18,Mladec,Czech Republic,,,,,,49.7065,17.0158,,,
19,Cioclovina,Romania,,,,,,45.35,23.84,,,
20,Paviland,UK,,,,,,51.55,-4.256,,,
21,Caverna Generosa,Italy,,,,,,45.934278,9.024694,,,
22,Monte Avena,Italy,,,,,,46.035,11.758,,,
23,Gorham's Cave,Gibraltar,,,,,,36.1203,-5.3419,,,
24,Zafarraya,Spain,,,,,,36.9511,-4.1272,,,
25,Figueira Brava,Portugal,,,,,,38.4731,-8.995,,,
26,St. Cesaire,France,,,,,,45.7533,-0.5183,,,
27,Arcy-sur-Cure,France,,,,,,47.5915,3.7665,,,
28,Le Moustier,France,,,,,,44.9939,1.06,,,
29,Subalyuk,Hungary,,,,,,47.9611,20.5305,,,
30,Guattari,Italy,,,,,,41.2366,13.0967,,,
31,Amud,Israel,,,,,,32.8722,35.5017,,,
32,Shanidar,Iraq,,,,,,36.831593,44.221083,,,
